client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-15 09:12:58.985834,2022-09-15 09:12:59.023958,2022-09-15 09:13:00.071132,0:00:01.069891,29.6,72.5
2022-09-15 09:12:59.025793,2022-09-15 09:12:59.059368,2022-09-15 09:13:00.326198,0:00:01.299395,90.1,72.6
2022-09-15 09:12:59.060404,2022-09-15 09:12:59.091146,2022-09-15 09:13:00.613762,0:00:01.553358,85.4,72.7
2022-09-15 09:12:59.092696,2022-09-15 09:12:59.126820,2022-09-15 09:13:00.963247,0:00:01.869540,92.3,72.7
2022-09-15 09:12:59.127697,2022-09-15 09:12:59.162498,2022-09-15 09:13:01.314555,0:00:02.186858,95.1,72.8
2022-09-15 09:12:59.163701,2022-09-15 09:12:59.196512,2022-09-15 09:13:01.497210,0:00:02.333509,95.0,72.8
2022-09-15 09:12:59.202657,2022-09-15 09:12:59.231147,2022-09-15 09:13:01.847378,0:00:02.644721,94.2,72.9
2022-09-15 09:12:59.239633,2022-09-15 09:12:59.273366,2022-09-15 09:13:01.900380,0:00:02.660033,76.0,72.9
2022-09-15 09:12:59.284854,2022-09-15 09:12:59.372008,2022-09-15 09:13:02.241795,0:00:02.956941,84.6,72.8
2022-09-15 09:12:59.390816,2022-09-15 09:12:59.424475,2022-09-15 09:13:02.304610,0:00:02.912792,97.1,72.8
2022-09-15 09:13:00.005132,2022-09-15 09:13:00.052483,2022-09-15 09:13:02.578517,0:00:02.573385,89.2,72.9
2022-09-15 09:13:00.052158,2022-09-15 09:13:00.068575,2022-09-15 09:13:02.630135,0:00:02.577977,87.9,72.9
2022-09-15 09:13:00.068104,2022-09-15 09:13:00.100007,2022-09-15 09:13:02.849979,0:00:02.781875,90.4,72.9
2022-09-15 09:13:00.193607,2022-09-15 09:13:00.194294,2022-09-15 09:13:03.091310,0:00:02.897703,86.0,72.9
2022-09-15 09:13:00.192929,2022-09-15 09:13:00.193744,2022-09-15 09:13:03.135153,0:00:02.942224,70.8,72.8
2022-09-15 09:13:00.192929,2022-09-15 09:13:00.193768,2022-09-15 09:13:03.179170,0:00:02.985933,92.0,72.8
2022-09-15 09:13:00.270623,2022-09-15 09:13:00.271832,2022-09-15 09:13:03.433788,0:00:03.161140,86.7,72.9
2022-09-15 09:13:00.298679,2022-09-15 09:13:00.346590,2022-09-15 09:13:03.527663,0:00:03.227985,92.2,72.9
2022-09-15 09:13:00.391681,2022-09-15 09:13:00.407089,2022-09-15 09:13:03.647665,0:00:03.254983,87.7,72.9
2022-09-15 09:13:00.453675,2022-09-15 09:13:00.484881,2022-09-15 09:13:03.775785,0:00:03.322110,93.8,72.9
2022-09-15 09:13:01.096472,2022-09-15 09:13:01.114680,2022-09-15 09:13:04.074219,0:00:02.977747,77.4,72.9
2022-09-15 09:13:01.095733,2022-09-15 09:13:01.145594,2022-09-15 09:13:04.188716,0:00:03.092983,76.3,73.0
2022-09-15 09:13:01.095733,2022-09-15 09:13:01.130144,2022-09-15 09:13:04.265720,0:00:03.169494,78.0,73.0
2022-09-15 09:13:01.208585,2022-09-15 09:13:01.223892,2022-09-15 09:13:04.352895,0:00:03.144310,86.0,73.0
2022-09-15 09:13:01.239005,2022-09-15 09:13:01.240185,2022-09-15 09:13:04.395690,0:00:03.156358,75.0,73.0
2022-09-15 09:13:01.223586,2022-09-15 09:13:01.240075,2022-09-15 09:13:04.473692,0:00:03.250106,73.8,73.0
2022-09-15 09:13:01.285705,2022-09-15 09:13:01.301041,2022-09-15 09:13:04.609421,0:00:03.323716,85.9,72.9
2022-09-15 09:13:01.406435,2022-09-15 09:13:01.422777,2022-09-15 09:13:04.873919,0:00:03.467018,90.0,73.0
2022-09-15 09:13:01.468919,2022-09-15 09:13:01.499293,2022-09-15 09:13:05.015900,0:00:03.546296,98.7,73.0
2022-09-15 09:13:01.514311,2022-09-15 09:13:01.529155,2022-09-15 09:13:05.062897,0:00:03.548586,95.8,73.0
2022-09-15 09:13:02.133530,2022-09-15 09:13:02.147937,2022-09-15 09:13:05.258309,0:00:03.124458,85.8,73.0
2022-09-15 09:13:02.178580,2022-09-15 09:13:02.179453,2022-09-15 09:13:05.425997,0:00:03.247417,95.6,73.0
2022-09-15 09:13:02.223945,2022-09-15 09:13:02.270500,2022-09-15 09:13:05.639551,0:00:03.415606,87.2,72.7
2022-09-15 09:13:02.270797,2022-09-15 09:13:02.285919,2022-09-15 09:13:05.855454,0:00:03.583673,89.7,72.8
2022-09-15 09:13:02.284926,2022-09-15 09:13:02.286005,2022-09-15 09:13:05.892687,0:00:03.607761,62.5,72.8
2022-09-15 09:13:02.302912,2022-09-15 09:13:02.316044,2022-09-15 09:13:05.929687,0:00:03.626775,72.0,72.8
2022-09-15 09:13:02.316482,2022-09-15 09:13:02.331286,2022-09-15 09:13:05.966827,0:00:03.649894,68.8,72.8
2022-09-15 09:13:02.488543,2022-09-15 09:13:02.489671,2022-09-15 09:13:06.223427,0:00:03.734057,78.7,72.7
2022-09-15 09:13:02.519527,2022-09-15 09:13:02.532220,2022-09-15 09:13:06.314423,0:00:03.794896,78.0,72.7
2022-09-15 09:13:02.547597,2022-09-15 09:13:02.562860,2022-09-15 09:13:06.374396,0:00:03.825827,85.3,72.7
2022-09-15 09:13:03.166450,2022-09-15 09:13:03.197260,2022-09-15 09:13:06.649233,0:00:03.482783,69.8,72.7
2022-09-15 09:13:03.212353,2022-09-15 09:13:03.243793,2022-09-15 09:13:06.768973,0:00:03.556620,82.1,72.8
2022-09-15 09:13:03.243393,2022-09-15 09:13:03.244361,2022-09-15 09:13:06.827890,0:00:03.584497,82.4,72.8
2022-09-15 09:13:03.290478,2022-09-15 09:13:03.305252,2022-09-15 09:13:06.912095,0:00:03.620592,78.5,72.8
2022-09-15 09:13:03.290478,2022-09-15 09:13:03.305798,2022-09-15 09:13:07.056515,0:00:03.766037,77.2,72.8
2022-09-15 09:13:03.350419,2022-09-15 09:13:03.366206,2022-09-15 09:13:07.097047,0:00:03.746628,70.8,72.8
2022-09-15 09:13:03.321191,2022-09-15 09:13:03.366265,2022-09-15 09:13:07.130620,0:00:03.809429,75.0,72.8
2022-09-15 09:13:03.551761,2022-09-15 09:13:03.564894,2022-09-15 09:13:07.386613,0:00:03.834852,72.7,72.8
2022-09-15 09:13:03.550951,2022-09-15 09:13:03.564889,2022-09-15 09:13:07.431889,0:00:03.880351,83.3,72.8
2022-09-15 09:13:03.564757,2022-09-15 09:13:03.612871,2022-09-15 09:13:07.535149,0:00:03.969379,96.7,72.8
2022-09-15 09:13:04.202911,2022-09-15 09:13:04.219205,2022-09-15 09:13:07.711619,0:00:03.508708,75.8,72.8
2022-09-15 09:13:04.265227,2022-09-15 09:13:04.296435,2022-09-15 09:13:08.040817,0:00:03.775590,70.1,72.8
2022-09-15 09:13:04.295927,2022-09-15 09:13:04.326329,2022-09-15 09:13:08.075812,0:00:03.779885,81.2,72.8
2022-09-15 09:13:04.342225,2022-09-15 09:13:04.357130,2022-09-15 09:13:08.142836,0:00:03.800611,81.2,72.8
